#plotted using ACD6_amplicon_DSL.r (/Users/dklu0001/Documents/SLU/Projects/ACD6/ACD6_data_and_code/)
Sample	OTU	Genotype	Treatment	GenoTreatmentOTU	GenoTreatment	abundance	abundance_square_root
S38	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S38	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.05918708102	0.2432839514
S38	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.02247863035	0.1499287509
S38	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00049841752	0.0223252664
S38	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	5.593341142	2.365024554
S40	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.02124054463	0.1457413621
S40	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.00708018154	0.08414381463
S40	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00272314675	0.05218377861
S40	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S40	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.058698941	0.2422786433
S40	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.03981845688	0.1995456261
S40	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00006051437	0.007779098277
S40	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	52.12193646	7.219552373
S42	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.00126232472	0.03552920939
S42	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.01671727338	0.1292952953
S42	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00463989628	0.06811678413
S42	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S42	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.1356828494	0.3683515297
S42	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.03032991027	0.1741548457
S42	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00017058442	0.01306079707
S42	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	21.79004469	4.667980794
S55	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.0012254902	0.03500700216
S55	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0	0
S55	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.00245098039	0.04950737713
S55	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S55	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.05759803922	0.239995915
S55	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.9595588235	0.9795707343
S55	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00367647059	0.06063390627
S55	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	0.9950980392	0.9975460086
S57	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00075872534	0.02754496941
S57	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.02883156297	0.1697985953
S57	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.01251896813	0.1118881948
S57	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0	0
S57	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.2329286798	0.4826268536
S57	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	0.4833080425	0.6952035979
S57	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.00227617602	0.04770928652
S57	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	294.3380121	17.156282
S58	Zotu11	Est-1	DC	Est-1_DC_Zotu11	Est-1_DC	0.00662334416	0.0813839306
S58	Zotu7	Est-1	DC	Est-1_DC_Zotu7	Est-1_DC	0.02299425144	0.1516385553
S58	Zotu8	Est-1	DC	Est-1_DC_Zotu8	Est-1_DC	0.01299675081	0.114003293
S58	Zotu10	Est-1	DC	Est-1_DC_Zotu10	Est-1_DC	0	0
S58	Zotu6	Est-1	DC	Est-1_DC_Zotu6	Est-1_DC	0.2416895776	0.4916193422
S58	Zotu4	Est-1	DC	Est-1_DC_Zotu4	Est-1_DC	0.2008247938	0.4481347942
S58	Zotu5	Est-1	DC	Est-1_DC_Zotu5	Est-1_DC	0.00137465634	0.03707635824
S58	Zotu1	Est-1	DC	Est-1_DC_Zotu1	Est-1_DC	107.5322419	10.3697754
S59	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00273758311	0.05232191806
S59	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.00821274932	0.09062422038
S59	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.01329683223	0.1153118911
S59	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0.00821274932	0.09062422038
S59	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.2061008995	0.4539833692
S59	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	2.459913962	1.568411286
S59	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.3883457176	0.6231739064
S59	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	187.9198279	13.70838531
S61	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.0007573845	0.02752061954
S61	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.03584953295	0.1893397289
S61	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.01262307498	0.1123524587
S61	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0.01439030548	0.1199595994
S61	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.1926281242	0.4388942062
S61	Zotu4	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu4	Est-1:acd6-null_DC	4.494067155	2.119921497
S61	Zotu5	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu5	Est-1:acd6-null_DC	0.7164857359	0.8464548044
S61	Zotu1	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu1	Est-1:acd6-null_DC	96.04291845	9.8001489
S71	Zotu11	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu11	Est-1:acd6-null_DC	0.00039651071	0.01991257668
S71	Zotu7	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu7	Est-1:acd6-null_DC	0.02458366376	0.1567917847
S71	Zotu8	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu8	Est-1:acd6-null_DC	0.00872323553	0.09339826299
S71	Zotu10	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu10	Est-1:acd6-null_DC	0	0
S71	Zotu6	Est-1:acd6-null	DC	Est-1:acd6-null_DC_Zotu6	Est-1:acd6-null_DC	0.1784298176	0.4224095378
