OTU_ID	F10p515F2F4F6	D5p515F2F4F6	E6p515F1F3F5	H8p515F2F4F6	C1p515F2F4F6	F8p515F1F3F5	A4p515F2F4F6	A8p515F1F3F5	A11p515F2F4F6	A5p515F2F4F6	C4p515F2F4F6	B12p515F2F4F6	F10p515F1F3F5	F11p515F1F3F5	G9p515F1F3F5	E3p515F1F3F5	E7p515F1F3F5	H2p515F2F4F6	E4p515F2F4F6	F6p515F1F3F5	C11p515F1F3F5	F12p515F1F3F5	B8p515F2F4F6	F12p515F2F4F6	G7p515F2F4F6	E3p515F2F4F6	C5p515F2F4F6	E2p515F2F4F6	D2p515F1F3F5	G3p515F1F3F5
Otu2275	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
Otu3861	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu5892	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6005	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4035	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
Otu8831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8109	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8332	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1133	9	0	1	0	0	1	0	0	0	0	0	9	0	1	0	1	55	0	0	0	0	2	0	30	0	0	0	0	15	1
Otu3234	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Otu6627	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3568	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu2804	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu6521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu848	31	0	0	1	0	8	0	0	6	0	0	12	0	0	0	4	0	0	0	2	0	5	0	12	0	0	0	0	15	0
Otu5919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu617	0	0	2	14	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	2	0	0	0	16	0	0	0	0	0	38
Otu9275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu9120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu8729	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu1096	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	5	0	1
Otu4479	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu9176	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8240	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu9363	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu333	29	7	13	20	1	58	1	31	0	18	2	6	46	42	10	1	0	0	8	14	19	10	28	2	4	10	17	0	19	16
Otu1494	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	1	4	0	0	0	0	8	0	0	0	1	0	0
Otu8233	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu3089	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Otu8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Otu7192	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu6812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu317	122	17	22	38	0	0	0	0	0	1	3	5	3	5	7	7	0	3	1	16	2	1	0	2	1	6	6	4	2	88
Otu6490	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Otu1460	0	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14
Otu8536	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3218	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0
Otu6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3521	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu1215	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu9087	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Otu7762	0	0	1	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Otu3132	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	3	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Otu813	21	0	2	1	0	1	0	0	8	0	0	6	0	1	0	0	0	0	0	1	0	0	0	7	1	0	0	0	6	1
Otu664	140	0	0	0	0	2	0	0	0	2	1	6	4	2	0	3	19	5	0	0	0	2	0	27	1	0	0	0	44	0
Otu5846	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
Otu4899	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
Otu7886	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu7892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Otu1288	39	0	0	0	1	3	2	0	0	5	0	2	0	2	0	0	0	0	2	0	0	0	0	14	1	2	1	0	13	0
Otu2072	3	0	0	0	0	1	1	0	2	0	0	2	2	0	0	1	0	14	0	0	1	0	0	3	0	0	0	4	0	0
Otu8265	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu1254	1	0	0	5	0	2	0	6	0	0	0	4	0	0	2	2	0	0	0	0	0	19	0	1	0	5	0	0	0	3
Otu2411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	5	0	1	0	0	0
Otu2310	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	3	0	0	0	0	0	3	0	0	0	1	0	0
Otu1104	6	0	1	9	2	0	0	0	1	0	0	1	0	0	0	1	0	23	1	5	0	1	0	2	1	0	0	2	7	13
Otu1277	15	0	0	0	0	4	19	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	2	4	2	1	0	0	0	0
Otu799	5	0	1	3	0	0	8	2	0	0	0	143	0	0	0	0	21	0	1	0	0	0	0	54	0	0	0	0	0	2
Otu7622	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8832	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu4462	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	1	10	3	0	0	0	0	0	0	0	0	0	1	0	0
Otu5550	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu3865	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu8035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu755	1	0	2	1	0	0	1	0	0	0	0	23	0	0	4	0	0	0	0	3	0	16	0	4	1	1	0	0	0	14
Otu2380	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
Otu5676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4895	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2916	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4
Otu6620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu3730	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0
Otu7742	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6140	2	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Otu2333	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	71	1	0	0	0	0	2	0	0	0	0	0	0	1
Otu5614	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
Otu484	0	0	1	51	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	10	0	0	0	0	0	0	0	0	0	24
Otu5734	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
Otu8983	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu6204	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Otu5696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu7829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1869	3	0	0	1	0	0	7	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
Otu6568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Otu1755	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0
Otu2908	19	0	0	0	0	2	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu7651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Otu1642	5	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Otu3863	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Otu884	9	4	0	0	1	10	1	3	0	0	0	0	4	0	0	2	83	0	1	0	0	0	21	3	0	0	1	0	16	0
Otu3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu9054	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu4105	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	3	0	0
Otu612	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu5252	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Otu4480	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
Otu7126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu6623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu4037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu148	1	0	21	2	2	0	1	22	0	10	339	2	242	26	167	0	0	63	521	19	657	0	489	0	55	95	38	16	0	21
Otu8093	4	0	0	0	0	3	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Otu1453	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	4
Otu786	0	0	3	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	4	5	0	0	1	0	1	0	0	0	0
Otu829	19	5	0	1	0	6	5	0	0	3	1	3	1	0	0	0	0	0	0	0	1	4	0	13	2	7	1	0	0	0
Otu247	140	2	0	5	4	242	0	2	6	0	0	10	12	0	0	45	0	0	53	0	0	0	35	74	0	3	0	0	35	0
Otu4896	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu5551	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu1289	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	0	0	0	0	1	0	0	2	0	0
Otu2713	3	0	0	1	2	3	0	1	0	1	1	2	2	0	0	1	7	1	1	0	0	1	0	5	0	1	0	0	0	0
Otu2218	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3
Otu5662	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	1
Otu4099	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Otu1330	50	1	0	0	0	6	0	3	0	0	0	7	0	2	0	0	0	0	7	0	0	0	0	5	0	2	1	0	0	0
Otu2438	1	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0
Otu6141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Otu9294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu5023	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Otu4273	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu5259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu1019	0	0	0	0	0	0	0	0	0	0	4	4	72	0	19	0	37	14	19	1	9	0	21	10	1	175	0	5	0	0
Otu1522	17	0	0	1	0	10	1	0	6	0	0	1	0	1	0	2	0	5	1	0	0	0	0	5	0	0	0	0	4	0
Otu2688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0
Otu294	0	0	6	17	0	51	2	105	0	0	1	16	3	0	10	10	11	9	3	17	2	0	85	97	3	9	1	19	0	24
Otu4100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu7887	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu5776	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu1326	1	0	0	0	0	1	1	4	0	0	0	0	3	1	0	0	0	2	0	0	0	8	2	0	0	2	0	0	0	0
Otu5254	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu1058	1	0	0	3	0	0	0	0	0	1	0	5	0	6	0	2	0	0	0	0	0	0	0	29	0	0	0	0	0	1
Otu3032	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	1	0	0
Otu3610	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu2956	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu805	2	0	12	15	0	0	0	0	0	1	0	2	0	1	0	1	5	2	0	21	0	0	0	11	0	0	0	0	0	23
Otu1271	4	4	1	8	0	0	0	1	0	15	0	1	2	3	0	1	0	0	2	1	4	0	6	0	2	12	0	0	0	4
Otu3864	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu2280	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu4078	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu5015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu7657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
Otu5321	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu5921	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu3388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
Otu4574	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Otu6365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4
Otu2537	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	19	2	3	0	0	0	0	0	0	0	4	0	0
Otu4575	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1905	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	11	2
Otu5137	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu1774	0	0	0	5	0	4	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	2	0	1	0	0	0	0	0	2
Otu1875	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	4	1	0	0	0	0	0
Otu1339	2	0	0	0	0	0	3	0	0	1	0	15	0	0	0	1	40	0	0	0	0	3	0	4	0	0	0	0	0	0
Otu2607	6	0	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	4
Otu5151	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu1385	12	1	0	0	0	5	1	0	0	0	0	2	2	3	0	1	0	1	0	1	0	0	0	4	0	0	0	1	38	0
Otu1649	26	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	2	1	0	0	0	0	1	0	0	0	2	2	0
Otu2230	30	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	3	0
Otu8407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu781	85	1	1	0	0	11	4	0	0	1	1	1	9	1	1	2	0	8	0	0	0	0	0	8	0	0	0	0	32	1
Otu6366	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu2856	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu1897	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	4	0	0	0	1	0	0
Otu855	0	12	0	1	1	0	0	10	0	25	0	0	20	3	3	0	22	0	5	0	4	4	13	0	2	2	14	1	0	0
Otu5830	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Otu1581	7	0	0	1	0	0	1	0	0	0	0	4	0	0	0	3	20	0	0	0	0	3	5	3	0	1	0	0	0	0
Otu5093	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Otu1431	13	0	0	0	0	1	1	0	0	0	0	0	2	2	0	2	1	3	0	0	0	0	1	0	0	0	0	1	0	4
Otu3593	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1
Otu2232	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1
Otu6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu8833	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu9271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu3662	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu1081	0	0	0	0	0	0	0	0	0	2	2	0	36	0	12	0	0	3	89	0	171	0	4	6	0	2	0	1	0	0
Otu584	11	3	12	15	0	17	0	6	0	2	0	12	5	2	4	8	0	1	2	4	0	20	2	13	1	11	2	0	44	24
Otu9215	0	0	0	0	0	1	1	2	0	1	0	2	4	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	8
Otu2177	4	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4
Otu4897	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0
Otu2790	1	0	1	18	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu1052	6	0	0	6	0	2	2	0	2	0	0	3	4	0	0	3	2	0	0	4	0	0	0	8	0	0	0	0	4	6
Otu4182	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
Otu6250	4	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0
Otu1791	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	0	0	3
Otu2027	5	0	2	3	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	1
Otu2993	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
Otu2551	89	0	46	0	1	1	0	0	0	0	0	1	1	2	0	2	0	0	0	4	0	0	0	0	0	0	19	0	0	1
Otu549	19	4	3	0	6	12	0	0	16	1	0	3	17	0	1	2	0	113	0	0	3	0	0	6	0	0	0	12	0	0
Otu9149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu788	46	1	1	10	0	3	2	0	5	0	0	7	1	0	3	6	0	10	0	0	0	2	2	16	0	0	0	1	45	4
Otu1973	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	5
Otu8040	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
Otu460	8	1	0	0	6	0	0	0	30	0	0	1	0	0	1	1	0	137	0	0	0	0	0	2	0	1	0	16	47	1
Otu3522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	1	3	0	0	0	0	0
Otu8104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1076	1	0	2	0	0	0	0	0	12	0	0	0	0	0	0	1	0	90	0	0	0	0	0	2	0	1	0	8	0	0
Otu2555	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	6	1	0	1	0	0	1
Otu2439	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0
Otu4407	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Otu3141	10	1	0	0	0	0	1	0	1	0	0	0	6	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Otu4101	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu6691	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6798	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
Otu1711	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	11
Otu7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4737	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu7312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu2068	0	0	1	0	3	1	1	0	6	1	0	1	4	1	0	0	0	4	0	5	5	0	0	0	0	1	0	1	0	0
