OTU_ID	F10p515F2F4F6	D5p515F2F4F6	E6p515F1F3F5	H8p515F2F4F6	C1p515F2F4F6	F8p515F1F3F5	A4p515F2F4F6	A8p515F1F3F5	A11p515F2F4F6	A5p515F2F4F6	C4p515F2F4F6	B12p515F2F4F6	F10p515F1F3F5	F11p515F1F3F5	G9p515F1F3F5	E3p515F1F3F5	E7p515F1F3F5	H2p515F2F4F6	E4p515F2F4F6	F6p515F1F3F5	C11p515F1F3F5	F12p515F1F3F5	B8p515F2F4F6	F12p515F2F4F6	G7p515F2F4F6	E3p515F2F4F6	C5p515F2F4F6	E2p515F2F4F6	D2p515F1F3F5	G3p515F1F3F5
Otu63	0	0	7	0	0	3	0	360	6	8	1	60	122	52	56	1	0	9	1863	2	647	1580	1430	0	3797	1235	86	12	0	3
Otu36	319	79	21	10	83	109	289	581	333	677	61	190	223	1738	44	40	76	158	319	19	243	63	178	151	28	317	179	211	15	13
Otu268	0	2	0	4	0	1	42	23	0	0	1	10	1	2	0	0	27	10	1	0	0	10	466	2	4	47	8	41	0	0
Otu9	285	421	117	516	87	242	6450	605	93	333	30	1154	337	141	175	227	123	267	941	130	58	135	71	1275	368	1316	261	719	76	1394
Otu22	7	11	2	6	28	95	533	1255	290	423	23	84	1218	294	65	58	742	417	231	5	594	59	2724	61	761	147	1058	281	14	46
Otu59	333	120	172	36	4	234	252	88	0	23	30	151	6	64	50	16	26	1	48	167	11	294	173	262	99	62	59	1	28	62
Otu354	1	2	2	5	0	2	36	7	3	50	0	13	39	5	23	2	1	5	18	0	5	11	17	7	6	6	5	2	53	2
Otu431	9	77	1	2	1	4	6	8	1	14	8	17	8	29	0	1	4	12	3	1	26	17	3	8	12	24	3	1	0	1
Otu7	570	1300	1550	690	136	1139	301	1200	44	518	181	1024	535	1019	603	705	276	170	597	1379	405	592	479	1950	1043	365	488	163	684	1275
Otu13	1355	1883	619	39	260	1460	645	445	10	1413	447	651	452	522	180	580	227	211	793	494	124	277	736	960	1065	310	719	217	344	398
Otu844	22	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	8	6	0	1	0	0	1	12	0	0	0	1	0	6
Otu760	1	4	1	0	0	22	11	3	0	1	0	15	2	0	48	2	9	0	4	0	12	9	0	25	1	5	0	0	0	2
Otu70	6	0	6	0	0	18	14	1189	0	345	0	78	429	661	32	40	124	41	29	12	194	14	98	49	315	55	92	2	132	8
Otu7209	3	1	8	0	0	12	10	10	1	0	3	11	10	17	43	27	3	5	10	26	24	4	1	12	8	24	11	4	0	5
Otu77	51	2	343	115	11	5	5	29	1	0	9	148	46	6	0	40	22	4	9	1084	1	47	3	206	3	8	6	69	0	279
Otu189	46	61	2	10	3	30	14	5	0	4	11	13	3	0	9	1	11	2	8	1	0	672	1	4	0	39	6	21	0	2
Otu26	54	218	44	0	117	106	349	279	46	157	141	257	283	155	4	174	1	367	692	33	4	323	381	80	188	71	257	358	197	39
Otu11	863	607	684	102	67	680	255	1282	140	296	151	1824	727	1074	207	909	291	789	1096	711	785	593	1152	1807	479	1203	1518	2398	92	124
Otu29	12	922	220	83	7	46	225	234	0	451	161	293	100	22	11	31	50	31	85	160	131	194	989	582	195	597	559	46	6	280
Otu54	411	280	1	3	52	46	13	95	0	9	9	63	26	38	146	44	16	151	20	0	3	4	36	28	31	15	179	73	50	40
Otu28	52	217	2	0	19	38	906	75	4	90	487	144	82	131	0	85	45	77	271	0	1	52	56	86	75	12	38	245	113	47
Otu51	98	387	418	53	167	295	400	71	180	60	188	113	73	132	321	58	107	330	121	300	117	21	76	343	138	214	102	66	180	103
Otu8588	0	0	1	0	0	9	3	30	0	0	0	2	9	3	1	12	0	2	3	0	20	1	1	2	8	4	12	4	0	2
Otu8	398	45	479	1219	239	581	715	962	212	973	42	286	617	1925	3	259	884	4983	326	430	416	91	540	332	53	93	55	2030	464	697
Otu519	3	0	0	0	0	9	7	9	0	1	0	12	13	17	4	7	1	0	3	0	0	1	38	69	6	7	31	0	0	0
Otu61	234	178	72	45	17	108	107	38	2	78	82	144	128	194	15	29	128	11	28	43	201	133	60	85	56	36	70	3	159	194
Otu1116	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	1	0	1	0	0	0	6	1	0	0	0	0	0	0
Otu422	0	0	0	0	1	12	10	9	0	14	4	1	5	9	21	0	19	1	18	0	15	36	48	3	6	34	9	0	0	1
Otu56	66	218	1	0	0	1	243	315	0	1065	12	58	36	41	47	29	1	2	313	0	4	114	808	0	6	965	47	0	137	0
Otu85	47	100	26	59	4	27	4	319	14	5	3	221	21	519	457	55	327	19	30	26	175	964	67	45	32	16	12	15	0	36
Otu775	0	0	0	1	1	0	0	5	1	0	0	5	4	0	0	2	0	2	37	0	14	0	0	4	1	2	1	1	0	0
Otu5742	0	0	2	0	0	0	1	34	0	1	0	11	19	35	4	7	0	0	11	4	29	12	2	8	19	5	32	7	0	0
Otu453	172	5	8	2	0	12	69	36	0	2	0	17	2	18	3	4	26	0	19	13	0	26	33	9	1	7	0	0	0	9
Otu42	165	179	306	188	101	215	114	180	324	125	36	178	263	161	163	115	149	485	334	266	207	37	492	277	104	501	260	259	57	191
Otu8366	3	1	0	0	0	1	2	24	0	0	0	27	3	12	1	29	0	7	7	0	0	2	0	16	7	0	15	14	0	16
Otu93	6	47	15	1	13	64	205	43	0	86	104	16	23	20	8	1	38	47	60	12	22	29	84	1	67	16	333	204	24	2
Otu90	229	245	114	16	12	32	170	10	0	92	30	29	10	11	22	21	17	36	62	70	6	48	35	92	19	20	18	5	73	102
Otu17	77	894	983	28	86	478	106	540	117	1208	550	1096	321	646	1809	211	23	223	855	790	166	109	582	399	595	55	293	334	177	349
Otu1446	2	0	0	0	0	0	1	9	0	4	3	1	1	2	34	3	7	0	0	0	0	2	0	0	0	8	0	1	0	0
Otu1376	1	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	3	2	0
Otu1528	27	1	15	0	0	17	3	22	0	2	1	32	14	15	8	46	0	0	4	20	6	26	3	21	8	4	6	3	0	42
Otu35	91	1720	35	12	54	162	549	77	4	178	129	87	75	186	148	48	123	251	817	28	59	186	161	59	162	377	122	103	49	51
Otu219	8	1	32	1	4	15	51	51	2	4	6	76	37	49	39	14	137	5	4	28	46	54	24	28	51	8	8	10	0	9
Otu4237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
Otu2014	1	0	0	0	0	1	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	3	0	6	0	0	0	0	0	0
Otu286	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Otu129	18	17	1	7	37	1	117	11	5	189	3	4	16	2	4	3	0	153	103	1	35	2	16	7	8	256	90	329	0	4
Otu1043	21	5	19	1	4	24	11	36	1	9	0	78	47	34	7	111	0	16	11	34	37	26	5	37	11	32	25	37	0	49
Otu71	20	593	98	29	14	82	19	57	14	310	102	157	53	142	102	75	43	40	91	85	11	13	84	177	64	78	50	30	0	51
Otu104	71	86	28	10	1	56	54	51	0	0	4	156	34	368	332	45	88	3	32	46	11	11	9	151	101	6	18	4	84	41
Otu95	51	7	29	38	12	37	494	25	18	555	18	30	32	34	10	33	698	207	70	15	12	15	337	65	86	7	51	166	10	18
Otu20	103	25	964	151	83	64	240	205	12	26	104	700	346	331	37	582	132	289	313	909	282	327	266	757	111	47	380	367	139	1187
Otu942	4	0	0	0	0	6	2	5	0	1	0	24	0	2	0	3	38	0	0	0	0	8	0	15	0	1	0	0	0	1
Otu72	0	1	11	296	4	19	225	0	1	0	0	13	0	1	0	135	188	37	0	7	0	165	0	481	0	0	0	238	0	223
Otu238	18	0	61	34	4	21	1	7	8	298	0	21	100	11	2	5	31	7	87	49	61	5	86	20	45	8	17	2	9	18
Otu88	194	16	72	19	1	75	69	102	2	2	0	145	197	33	553	61	671	20	36	103	264	134	51	119	247	177	26	27	19	38
Otu8802	15	15	22	1	0	38	47	36	0	36	0	68	30	51	21	92	0	11	46	34	13	28	1	62	25	126	41	13	0	33
Otu6168	0	1	0	0	0	0	7	125	0	10	37	15	64	82	10	47	0	2	73	2	169	148	18	16	102	13	10	38	0	10
Otu5144	3	0	1	0	0	8	11	28	2	1	0	14	13	1	1	12	0	3	7	3	5	13	2	9	3	12	3	20	0	9
Otu69	161	28	1	6	9	76	5	307	0	36	22	8	53	121	140	3	108	5	71	0	36	276	122	5	852	78	28	0	1	1
Otu891	2	1	1	2	0	3	6	4	0	2	0	3	8	2	2	1	10	0	1	0	6	3	8	7	0	1	2	0	0	1
Otu389	3	0	0	0	0	7	76	46	0	14	1	9	29	12	1	3	58	0	23	1	2	2	6	9	37	4	2	0	0	0
Otu37	43	272	12	8	34	27	1265	678	30	1000	15	42	192	206	27	109	580	88	628	7	141	20	285	51	297	66	502	53	63	53
Otu6268	2	0	0	0	0	2	0	11	0	0	0	0	2	30	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Otu2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	24	0	0	0	0	0	0	0	0
Otu24	872	361	444	170	54	612	266	233	12	303	172	402	209	289	363	209	184	30	176	434	188	333	121	609	368	484	118	76	229	693
Otu41	54	0	313	58	69	35	38	290	1	1227	5	108	702	781	18	35	830	6	128	277	115	27	138	140	114	161	451	6	80	178
Otu87	43	327	145	30	94	107	230	54	53	31	128	68	44	49	474	21	384	112	53	76	37	24	132	197	56	64	65	36	116	22
Otu756	5	1	0	0	0	7	7	0	0	0	0	0	9	2	0	1	108	1	0	0	0	0	5	1	0	0	0	0	0	0
Otu139	16	77	4	0	1	90	199	109	7	289	11	37	87	128	93	23	143	27	93	3	61	182	93	39	100	46	112	32	0	0
Otu65	60	267	265	21	104	218	288	34	86	45	124	53	43	104	198	36	42	245	105	174	75	6	63	223	78	139	48	75	11	62
Otu55	193	48	95	141	28	136	57	119	203	54	29	175	96	348	148	17	200	205	28	63	296	55	466	120	118	126	61	30	25	27
Otu199	1	12	2	0	1	1	2	11	8	200	1	15	100	188	4	12	20	19	13	3	8	31	13	30	6	22	80	31	0	4
Otu166	9	138	40	25	2	91	1	37	0	0	2	65	26	165	23	39	149	4	3	81	9	105	13	46	1	10	4	4	0	25
Otu202	0	16	180	25	0	5	21	10	0	10	0	20	12	15	0	7	12	2	0	159	5	3	9	22	10	3	0	0	0	184
Otu278	3	128	9	4	3	7	24	12	9	32	21	52	2	11	3	8	0	19	25	6	97	0	13	2	76	8	7	38	0	7
Otu721	0	0	0	22	0	0	0	18	0	0	0	33	10	0	0	0	13	0	7	0	1	14	31	8	0	7	0	0	0	1
Otu337	3	0	1	2	1	30	11	188	0	177	15	16	57	58	0	16	0	20	16	2	123	25	68	14	9	15	9	52	0	0
Otu168	114	30	102	39	26	19	44	18	0	0	10	55	2	65	11	21	33	22	14	118	4	30	4	73	2	10	18	0	34	51
Otu4238	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu46	163	204	111	67	22	345	457	186	14	84	19	140	160	88	149	71	570	8	377	150	66	81	591	181	34	14	104	12	76	189
Otu730	19	0	6	10	0	3	0	0	6	0	0	3	1	0	0	3	0	15	0	7	0	0	1	2	0	1	0	3	0	3
Otu494	252	1	0	1	5	19	3	0	0	0	2	6	2	4	0	6	10	5	0	0	0	0	0	28	0	0	0	2	320	1
Otu600	36	0	1	1	0	12	7	5	0	17	0	13	3	13	1	1	26	0	1	0	2	2	0	11	1	4	1	0	31	2
