Otu23	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.0600),s:Thanatephorus_cucumeris_SH002119.07FU(0.0500)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu18	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.0100),s:Thanatephorus_cucumeris_SH218678.07FU(0.0100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu25	d:Fungi(1.0000),p:Basidiomycota(0.9200),c:Agaricomycetes(0.9200),o:Cantharellales(0.9200),f:Ceratobasidiaceae(0.9200)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu28	d:Fungi(1.0000),p:Ascomycota(0.9900),c:Leotiomycetes(0.9900),o:Helotiales(0.9900),f:Dermateaceae(0.9900),g:Helgardia(0.9900),s:Helgardia_anguioides_SH186800.07FU(0.9800)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Helgardia,s:Helgardia_anguioides_SH186800.07FU
Otu20	d:Fungi(1.0000),p:Ascomycota(0.0400),c:Sordariomycetes(0.0400),o:Glomerellales(0.0400),f:Plectosphaerellaceae(0.0400),g:Plectosphaerella(0.0400),s:Plectosphaerella_cucumerina_SH190986.07FU(0.0100)	+	d:Fungi
Otu22	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.0100),s:Thanatephorus_cucumeris_SH218678.07FU(0.0100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu30	d:Fungi(1.0000),p:Ascomycota(0.3100),c:Dothideomycetes(0.2800),o:Pleosporales(0.2800),f:Didymellaceae(0.2100),g:Stagonosporopsis(0.1700),s:Stagonosporopsis_tanaceti_SH245101.07FU(0.1600)	+	d:Fungi
Otu27	d:Fungi(1.0000),p:Basidiomycota(0.8300),c:Agaricomycetes(0.8300),o:Cantharellales(0.8300),f:Ceratobasidiaceae(0.8300),g:Ceratobasidium(0.0300)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu26	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Ceratobasidium(0.8600),s:Thanatephorus_cucumeris_SH220622.07FU(0.1100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Ceratobasidium
Otu29	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Pleosporaceae(1.0000),g:Alternaria(1.0000),s:Alternaria_metachromatica_SH216783.07FU(0.4900)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria
Otu33	d:Fungi(1.0000),p:Ascomycota(1.0000)	+	d:Fungi,p:Ascomycota
Otu24	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(0.4000),g:Paraphoma(0.4000),s:Paraphoma_chrysanthemicola_SH208737.07FU(0.1100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu32	d:Fungi(1.0000),p:Ascomycota(0.9700),c:Taphrinomycetes(0.9700),o:Taphrinales(0.9700),f:Protomycetaceae(0.9700),g:Protomyces(0.9700),s:Protomyces_inouyei_SH211874.07FU(0.9700)	+	d:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Protomyces,s:Protomyces_inouyei_SH211874.07FU
Otu35	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.6100),s:Thanatephorus_cucumeris_SH220622.07FU(0.6100)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu37	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Phaeosphaeriaceae(0.4000),g:Paraphoma(0.4000),s:Paraphoma_chrysanthemicola_SH208737.07FU(0.1100)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
Otu36	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Didymellaceae(1.0000)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae
Otu40	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000),g:Thanatephorus(0.7700),s:Thanatephorus_cucumeris_SH220622.07FU(0.7700)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu31	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Leotiomycetes(1.0000),o:Helotiales(1.0000),f:Helotiaceae(1.0000),g:Articulospora(1.0000)	+	d:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Articulospora
Otu38	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Sordariomycetes(1.0000),o:Xylariales(1.0000),f:Apiosporaceae(1.0000),g:Arthrinium(1.0000),s:Arthrinium_phaeospermum_SH211151.07FU(0.3800)	+	d:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Apiosporaceae,g:Arthrinium
Otu42	d:Fungi(1.0000),p:Ascomycota(0.7200),c:Dothideomycetes(0.0600)	+	d:Fungi
Otu34	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(1.0000),o:Pleosporales(1.0000),f:Pleosporaceae(1.0000),g:Alternaria(1.0000),s:Alternaria_rosae_SH294936.07FU(0.9500)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria_rosae_SH294936.07FU
Otu44	d:Fungi(1.0000),p:Basidiomycota(1.0000),c:Agaricomycetes(1.0000),o:Cantharellales(1.0000),f:Ceratobasidiaceae(1.0000)	+	d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae
Otu39	d:Fungi(1.0000),p:Ascomycota(0.5700),c:Sordariomycetes(0.5700),o:Xylariales(0.5700),f:Apiosporaceae(0.5700),g:Arthrinium(0.4300),s:Arthrinium_malaysianum_SH183136.07FU(0.3900)	+	d:Fungi
Otu45	d:Fungi(1.0000),p:Ascomycota(1.0000),c:Dothideomycetes(0.8700),o:Capnodiales(0.8700),f:Mycosphaerellaceae(0.8700),g:Cercospora(0.5400),s:Cercospora_coniogrammes_SH278817.07FU(0.5400)	+	d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Mycosphaerellaceae
Otu46	d:Fungi(1.0000),p:Basidiomycota(0.9900),c:Tremellomycetes(0.9900),o:Filobasidiales(0.9900),f:Filobasidiaceae(0.9900),g:Filobasidium(0.9900),s:Filobasidium_chernovii_SH197624.07FU(0.9700)	+	d:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium,s:Filobasidium_chernovii_SH197624.07FU
