Sample	Environment	Genotype	Environment:Genotype
R211L5S23	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S24	F-Z	Est1	F-Z_Est1
R211L5S26	F-Z	Est1	F-Z_Est1
R211L5S27	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S29	F-Z	Est1	F-Z_Est1
R211L5S30	F-Z	Est1	F-Z_Est1
R211L5S32	F-Z	Est1	F-Z_Est1
R211L5S33	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S34	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S35	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S36	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S37	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S38	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S39	F-Z	Est1	F-Z_Est1
R211L5S40	F-Z	Est1	F-Z_Est1
R211L5S41	F-Z	Est1	F-Z_Est1
R211L5S42	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S43	F-Z	Est1	F-Z_Est1
R211L5S46	F-Z	Est1	F-Z_Est1
R211L5S48	F-Z	Est1	F-Z_Est1
R211L5S50	F-Z	Est1	F-Z_Est1
R211L5S53	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S56	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S58	F-Z	Est1	F-Z_Est1
R211L5S61	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S63	F-Z	Est1	F-Z_Est1
R211L5S64	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S66	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S68	F-Z	Est1	F-Z_Est1
R211L5S69	F-Z	Est1	F-Z_Est1
R211L5S70	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S72	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S73	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S74	F-Z	Est1	F-Z_Est1
R211L5S75	F-Z	Est1	F-Z_Est1
R211L5S78	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null
R211L5S79	F-Z	Est1	F-Z_Est1
