P001_Sample	OTU	Genotype	Treatment	GenoTreatmentOTU	GenoTreatment	abundance_hamPCR	abundance_fourth_root
P001_S101	Zotu11	Est-1	Mix	Est-1_Mix_Zotu11	Est-1_Mix	0.00530973451	0.2699405955
P001_S101	Zotu7	Est-1	Mix	Est-1_Mix_Zotu7	Est-1_Mix	0.01202064897	0.3311173813
P001_S101	Zotu8	Est-1	Mix	Est-1_Mix_Zotu8	Est-1_Mix	0.05589970501	0.4862418992
P001_S101	Zotu10	Est-1	Mix	Est-1_Mix_Zotu10	Est-1_Mix	0.00007374631	0.09266912742
P001_S101	Zotu6	Est-1	Mix	Est-1_Mix_Zotu6	Est-1_Mix	0.2281710915	0.6911386096
P001_S101	Zotu4	Est-1	Mix	Est-1_Mix_Zotu4	Est-1_Mix	1.644764012	1.132467895
P001_S101	Zotu5	Est-1	Mix	Est-1_Mix_Zotu5	Est-1_Mix	0.02367256637	0.39224854
P001_S101	Zotu1	Est-1	Mix	Est-1_Mix_Zotu1	Est-1_Mix	11.21474926	1.829984419
P001_S14	Zotu11	Est-1	Mix	Est-1_Mix_Zotu11	Est-1_Mix	0.00325071109	0.2387781556
P001_S14	Zotu7	Est-1	Mix	Est-1_Mix_Zotu7	Est-1_Mix	0.03900853312	0.4444162238
P001_S14	Zotu8	Est-1	Mix	Est-1_Mix_Zotu8	Est-1_Mix	0.04591629419	0.4629048248
P001_S14	Zotu10	Est-1	Mix	Est-1_Mix_Zotu10	Est-1_Mix	0.00203169443	0.2123071388
P001_S14	Zotu6	Est-1	Mix	Est-1_Mix_Zotu6	Est-1_Mix	0.8143031288	0.9499407668
P001_S14	Zotu4	Est-1	Mix	Est-1_Mix_Zotu4	Est-1_Mix	4.307598537	1.440651067
P001_S14	Zotu5	Est-1	Mix	Est-1_Mix_Zotu5	Est-1_Mix	0.1137748883	0.5807799358
P001_S14	Zotu1	Est-1	Mix	Est-1_Mix_Zotu1	Est-1_Mix	68.42990654	2.8761497
P001_S16	Zotu11	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu11	Est-1:acd6-null_Mix	0.00725130297	0.2918125816
P001_S16	Zotu7	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu7	Est-1:acd6-null_Mix	0.07772490369	0.5280074474
P001_S16	Zotu8	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu8	Est-1:acd6-null_Mix	0.03580330841	0.4349915193
P001_S16	Zotu10	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu10	Est-1:acd6-null_Mix	0.00090641287	0.1735127991
P001_S16	Zotu6	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu6	Est-1:acd6-null_Mix	0.890777249	0.9714988237
P001_S16	Zotu4	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu4	Est-1:acd6-null_Mix	2.261046907	1.226245405
P001_S16	Zotu5	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu5	Est-1:acd6-null_Mix	0.06571493315	0.5063094317
P001_S16	Zotu1	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu1	Est-1:acd6-null_Mix	63.71380014	2.825259717
P001_S30	Zotu11	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu11	Est-1:acd6-null_Mix	0.05825242718	0.4912793462
P001_S30	Zotu7	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu7	Est-1:acd6-null_Mix	0.05197030268	0.4774619985
P001_S30	Zotu8	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu8	Est-1:acd6-null_Mix	0.1273557967	0.5973855031
P001_S30	Zotu10	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu10	Est-1:acd6-null_Mix	0.00228440891	0.2186217978
P001_S30	Zotu6	Est-1:acd6-null	Mix	Est-1:acd6-null_Mix_Zotu6	Est-1:acd6-null_Mix	1.52312964	1.110923663
