CORNER	RM109S73	RM109S169	RM109S81	RM109S177	RM109S1	RM109S9	RM109S105	RM109S113	RM109S121	RM109S33	RM109S129	RM109S41	RM109S137	RM109S49	RM109S145	RM109S57	RM109S65	RM109S161	RM109S170	RM109S82	RM109S178	RM109S98	RM109S106	RM109S26	RM109S122	RM109S34	RM109S130	RM109S42	RM109S138	RM109S146	RM109S154	RM109S162	RM109S91	RM109S11	RM109S27	RM109S35	RM109S59	RM109S67	RM109S4	RM109S12	RM109S36	RM109S44	RM109S60	RM109S77	RM109S85	RM109S5	RM109S29	RM109S61	RM109S69	RM109S78	RM109S6	RM109S14	RM109S22	RM109S54	RM109S62	RM109S79	RM109S186	RM109S87	RM109S15	RM109S39	RM109S8	RM109S16	RM109S32	RM109S48
Otu5	3319	48	3119	115	2321	3991	58	63	29	6826	189	3651	64	3439	78	4425	4111	4	645	2187	47	4	48	7587	96	4730	53	856	54	89	76	1078	6007	4743	1984	1419	4590	2854	2691	1779	220	59	18	273	16	33	352	102	8	73	53	58	191	138	4008	3937	44	1896	83	36	1851	6256	4268	74
Otu283	570	1	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	22	535	0	48	0	0	0	28	0	0	0	0	0	0	0	29	0	0	0	0	0	2	12	1	0	0	0	0	0	18	0	19	0
Otu2	418	1195	40	0	38	5	24771	0	277	7	225	7	15	414	4	0	1739	2550	0	219	1	0	0	42	37	5	0	44	0	24	18	92	3950	99	116	2	157	15	203	147	29	181	227	31	248	30879	0	24	2	31	1	18515	2	11	1694	0	23	142	20149	507	105	3	74	0
Otu7	1957	0	2000	0	1392	392	0	0	1	350	1	63	1	226	0	632	584	0	0	168	0	0	0	2410	0	171	0	1141	0	1	0	0	199	2497	782	607	948	1230	1148	284	2	0	2	0	0	0	0	0	1	1	0	1	0	0	0	684	0	449	1	0	780	409	646	0
Otu52	972	0	107	0	24	52	0	0	2	11	0	13	0	0	0	23	23	0	0	2	0	0	0	102	0	18	0	39	0	0	1	297	10	41	1	9	233	1	1031	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	3	0	0	0	0	24	1818	2	0
Otu267	529	0	0	0	60	0	0	119	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	262	57	0	163	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	1	0	0	5	0	0	0
Otu12	815	1	2055	0	169	142	2	0	2	3141	0	400	0	77	0	718	8095	0	3	4792	0	0	0	11711	0	619	0	1779	1	0	0	1	3129	5228	81	1536	1001	772	1659	1592	3	3	1	2	1	0	1	1	1	0	0	2	1	1	3	319	2	144	1	0	652	1	445	2
Otu24	426	0	843	0	15409	32	0	0	0	5070	0	268	1	95	0	801	22	0	0	130	0	0	0	402	0	14	0	21	0	0	0	0	55	40	5224	5354	129	151	137	284	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1665	0	268	0	0	67	441	2358	0
Otu308	516	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu393	888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu736	227	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Otu102	696	0	6	0	0	0	0	0	0	1	0	9	0	38	0	40	0	0	0	2	0	0	0	100	0	0	0	0	0	0	0	0	33	0	3	0	127	9	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	234	0	463	0
