OTU_ID	RM81L1S1	RM81L1S9	RM81L1S105	RM81L1S17	RM81L1S113	RM81L1S33	RM81L1S41	RM81L1S49	RM81L1S57	RM81L1S65	RM81L1S74	RM81L1S2	RM81L1S98	RM81L1S10	RM81L1S106	RM81L1S18	RM81L1S114	RM81L1S26	RM81L1S42	RM81L1S50	RM81L1S58	RM81L1S99	RM81L1S11	RM81L1S107	RM81L1S115	RM81L1S43	RM81L1S51	RM81L1S59	RM81L1S67	RM81L1S100	RM81L1S108	RM81L1S20	RM81L1S116	RM81L1S28	RM81L1S36	RM81L1S44	RM81L1S52	RM81L1S60	RM81L1S68	RM81L1S77	RM81L1S5	RM81L1S101	RM81L1S13	RM81L1S109	RM81L1S21	RM81L1S117	RM81L1S29	RM81L1S37	RM81L1S61	RM81L1S69	RM81L1S6	RM81L1S102	RM81L1S14	RM81L1S110	RM81L1S22	RM81L1S118	RM81L1S38	RM81L1S46	RM81L1S62	RM81L1S70	RM81L1S7	RM81L1S103	RM81L1S111	RM81L1S23	RM81L1S119	RM81L1S39	RM81L1S47	RM81L1S55	RM81L1S63	RM81L1S8	RM81L1S104	RM81L1S16	RM81L1S112	RM81L1S120	RM81L1S32	RM81L1S56	RM133L1S12	RM133L1S1	RM133L1S2	RM133L1S3	RM133L1S4	RM133L1S5	RM133L1S9	RM133L1S22	RM133L1S23	RM133L1S24	RM133L1S13	RM133L1S14	RM133L1S15	RM133L1S16	RM133L1S17	RM133L1S20	RM133L1S21	RM133L1S26	RM133L1S27	RM133L1S29	RM133L1S31	RM133L1S32	RM133L1S46	RM133L1S37	RM133L1S39	RM133L1S40	RM133L1S41	RM133L1S42	RM133L1S43	RM133L1S44	RM133L1S58	RM133L1S59	RM133L1S60	RM133L1S49	RM133L1S50	RM133L1S51	RM133L1S52	RM133L1S53	RM133L1S56	RM133L1S57	RM133L1S61	RM133L1S62	RM133L1S67	RM133L1S106	RM133L1S107	RM133L1S108	RM133L1S97	RM133L1S98	RM133L1S99	RM133L1S100	RM133L1S101	RM133L1S102	RM133L1S103	RM133L1S104	RM133L1S105	RM133L1S118	RM133L1S119	RM133L1S120	RM133L1S109	RM133L1S110	RM133L1S111	RM133L1S112	RM133L1S113	RM133L1S114	RM133L1S115	RM133L1S116	RM133L1S117	RM133L1S130	RM133L1S131	RM133L1S132	RM133L1S121	RM133L1S122	RM133L1S123	RM133L1S124	RM133L1S125	RM133L1S126	RM133L1S127	RM133L1S128	RM133L1S129	RM133L1S142	RM133L1S143	RM133L1S144	RM133L1S133	RM133L1S134	RM133L1S135	RM133L1S136	RM133L1S137	RM133L1S138	RM133L1S139	RM133L1S140	RM133L1S141
Otu154	0	0	37	0	65	0	124	261	55	108	380	1	90	0	153	0	38	0	31	54	129	104	0	133	91	106	114	239	172	17	145	0	100	0	0	86	143	67	62	157	3	217	0	49	1	43	1	1	110	61	0	330	0	132	1	313	0	70	20	107	1	105	51	0	21	1	254	43	92	2	79	1	97	36	0	118	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	2	19	15	37	8	5	28	57	15	11	7	25	14	15	36	7	43	38	31	19	71	116	29	75	14	12	14	6	6	27	20	5	18	5	2	4	30	36	56	39	19	38	8	16	5	1
Otu573	0	0	19	0	12	0	17	17	29	11	30	0	14	0	32	0	8	0	21	50	27	28	0	13	13	4	6	18	31	8	12	0	31	0	0	1	20	3	5	13	0	33	0	33	0	9	0	0	3	3	0	37	0	0	0	24	0	2	8	4	0	17	27	0	9	1	17	20	12	0	21	0	47	28	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	1	1	0	1	13	0	0	0	0	0	3	14	0	2	0	0	2	5	1	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1
Otu386	26	7	0	3	0	5	3	0	0	0	0	33	1	2	3	13	0	0	0	0	0	0	17	0	0	5	1	1	1	0	0	0	0	5	88	1	2	0	3	0	35	0	3	0	34	0	6	14	0	0	11	0	0	0	2	0	6	0	0	0	47	0	0	38	0	23	0	0	0	19	0	7	0	0	13	0	2	2	0	15	7	8	0	0	1	1	1	0	0	29	0	1	0	0	13	1	2	20	0	0	0	0	0	2	6	1	5	0	4	0	4	2	10	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1372	0	0	1	0	2	1	2	2	7	1	0	0	0	0	1	0	0	0	1	10	0	0	0	2	3	0	0	0	2	0	0	0	1	0	0	2	4	1	0	6	4	9	0	0	0	0	0	0	12	0	0	0	0	14	0	9	3	5	0	0	0	6	1	0	2	0	7	0	0	2	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	7	1	1	2	0	6	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	1	0	0	6	0	0	1	0	0	0	0
Otu158	0	2	25	2	104	0	65	218	91	128	220	1	123	0	270	0	62	0	114	100	197	35	3	187	107	56	102	137	201	37	116	2	59	2	0	86	254	45	97	166	0	91	0	95	0	36	1	2	126	81	2	103	0	71	0	387	0	96	45	90	0	54	100	1	63	0	340	65	162	1	82	1	114	49	0	79	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1
Otu1040	0	0	1	0	0	2	2	3	0	1	8	0	5	1	13	0	4	4	3	1	3	6	1	2	4	15	3	7	7	1	4	0	0	0	0	9	8	7	8	3	1	3	0	0	1	20	4	1	3	5	2	27	0	17	0	12	1	0	3	2	4	10	1	0	0	0	13	1	3	0	2	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu409	0	0	3	0	13	0	37	57	33	72	33	0	28	0	62	0	13	0	31	4	47	17	0	33	22	38	26	85	74	22	6	0	9	0	0	24	94	29	24	22	0	39	0	14	0	4	0	0	33	15	0	38	0	38	0	36	0	64	3	24	0	33	5	0	0	0	95	20	37	0	10	0	6	27	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu697	0	0	1	0	0	0	10	45	15	16	0	0	16	0	14	0	11	0	6	0	27	3	0	0	15	3	5	47	33	1	6	0	15	0	0	5	38	6	3	31	0	16	0	0	0	6	0	0	18	11	0	14	0	14	0	24	0	8	0	7	0	17	6	0	1	0	28	0	13	0	0	0	2	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu485	0	0	0	0	21	0	15	55	5	51	9	0	8	0	55	0	7	0	17	9	9	5	0	57	55	39	52	29	38	4	39	1	13	0	0	10	52	1	13	9	0	6	0	10	0	10	0	0	7	17	0	57	0	5	0	67	0	20	3	10	0	33	9	0	5	0	89	19	21	0	16	0	13	52	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu4711	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
