OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu50	41	71	79	186	133	40	558	303	273	120	75	153	265	189	259	150	38	52	61	234	116	77	194	171	175	169	161	75	220	168	42	143	396	223	117	198	72	30	61
Zotu21	709	109	31	202	1578	57	16	1978	1066	58	131	39	72	9	21	148	10	5	25	6	184	3	70	48	6	17	129	357	141	9	10	12	6	565	4	11	8	2	53
Zotu45	76	112	34	18	78	29	4334	29	72	381	25	315	43	55	20	151	34	24	29	1085	50	20	108	174	57	49	209	63	62	55	6	690	164	863	280	31	81	64	192
Zotu3	1281	618	746	1377	2375	504	8924	2533	2523	1043	493	835	25014	1049	5057	2339	154	385	2967	2712	1856	367	1585	946	2532	1873	1778	498	1422	2653	494	811	3207	1377	2106	3004	346	761	694
Zotu205	3	2	21	26	64	0	17	30	14	14	4	1	1	0	50	16	2	3	0	28	34	4	2	17	0	34	15	23	2	11	6	14	9	28	13	2	14	0	7
Zotu154	21	5	10	67	44	0	59	41	38	41	18	36	69	39	54	39	12	6	3	69	58	32	40	16	46	19	36	11	15	27	4	47	10	43	73	33	44	12	44
Zotu13	103	222	238	401	396	53	3198	467	680	402	461	607	248	529	145	430	187	183	36	785	614	624	427	412	342	340	246	374	403	202	301	410	524	1642	1530	180	533	267	223
Zotu41	182	57	104	130	147	102	2370	153	37	55	50	65	310	68	308	154	62	50	206	831	137	29	278	151	217	293	504	84	198	284	66	83	588	129	370	521	21	103	271
Zotu165	713	9	6	29	1	3	57	4	1	0	9	2	2	1	5	2	7	0	8	1	16	0	8	0	0	7	0	0	36	147	4	2	0	8	0	12	22	0	0
Zotu71	271	31	34	253	20	74	622	114	44	66	53	0	151	6	164	73	2	40	44	81	43	5	47	11	31	26	26	0	81	1	14	11	144	19	31	111	2	24	11
Zotu624	5	0	0	0	4	0	0	6	1	0	2	1	19	0	14	0	6	0	0	3	3	0	9	2	0	0	0	5	14	10	0	50	5	0	2	10	2	0	6
Zotu14	490	40	48	217	1541	30	1360	277	30	354	14	25	2253	143	807	717	12	109	203	211	53	10	313	85	829	34	125	26	53	1235	79	17	1599	50	320	274	44	175	346
Zotu103	44	80	55	29	13	12	470	17	13	34	40	116	89	40	95	59	16	12	69	15	60	29	119	55	19	127	6	34	60	21	10	51	38	70	12	173	93	36	8
Zotu242	11	28	10	3	110	3	35	66	28	78	0	16	18	13	43	15	5	1	10	6	86	3	13	24	18	9	14	34	11	11	6	11	8	26	12	20	24	0	4
Zotu1374	3	0	1	0	0	0	0	3	3	0	1	0	3	4	3	2	1	0	0	0	2	0	1	0	2	0	0	0	1	2	0	6	0	0	1	1	0	0	0
Zotu62	62	50	40	53	80	15	107	194	87	22	53	29	291	179	314	468	9	32	14	34	33	9	374	130	33	41	82	45	231	12	53	59	96	80	12	40	9	53	74
Zotu1	1974	8243	10476	4121	15716	1813	91568	6972	12338	5514	7324	9329	1652	22657	6170	13723	6243	1260	1193	19517	23228	9321	15609	8659	12865	6576	8868	7651	16749	4712	5918	9375	4284	7127	11982	5912	9400	5425	22037
Zotu6	1597	226	290	382	437	123	4332	299	326	163	50	197	252	159	370	120	56	49	1342	313	410	37	201	185	430	318	367	102	496	1771	55	112	171	291	307	323	39	147	139
Zotu218	69	9	1	13	17	0	349	14	32	3	0	3	1	27	6	11	1	0	150	1	7	2	3	8	16	27	12	23	12	35	5	17	25	20	10	64	0	3	7
Zotu273	29	8	0	1	6	0	5	32	11	12	2	0	70	4	79	2	0	1	25	45	2	5	7	6	89	26	22	3	0	49	5	6	17	0	0	15	0	15	5
Zotu7	127	429	436	830	701	113	1893	1613	1204	585	467	504	654	987	572	725	171	217	158	823	632	584	771	614	352	540	295	687	771	409	269	471	957	1378	831	537	423	308	305
Zotu32	447	151	119	126	543	22	1190	396	654	197	204	468	137	307	239	186	79	77	393	105	611	147	257	480	303	431	494	265	333	413	91	315	252	250	213	422	367	128	563
Zotu81	19	35	42	121	80	31	828	125	52	42	34	66	8	60	10	52	110	2	0	136	154	14	206	41	52	47	36	83	25	36	43	19	118	88	269	55	98	9	53
Zotu31	587	138	15	66	168	8	5189	18	12	13	13	195	44	72	508	24	1	2	140	2690	104	3	610	334	1	190	56	133	799	280	5	2	723	97	2	161	28	1	3
Zotu35	1200	60	49	155	220	544	468	43	40	25	21	31	38	7	82	29	42	356	249	84	183	7	18	104	6	41	284	9	105	1078	149	9	15	157	176	126	51	26	17
Zotu84	84	58	16	304	46	7	481	67	33	9	13	62	18	74	16	51	15	57	48	119	67	42	24	52	4	45	37	20	100	12	8	10	30	101	57	15	17	0	166
Zotu158	28	2	12	21	27	2	120	61	54	2	40	30	42	33	67	55	6	10	36	17	17	15	33	11	19	46	27	12	69	45	1	13	55	30	23	108	8	8	27
Zotu356	11	3	4	11	10	0	1	83	6	3	7	3	11	3	12	7	5	5	39	5	16	21	1	0	36	1	7	1	7	6	2	0	16	17	9	5	12	0	0
Zotu10	361	131	191	736	407	81	2921	571	371	208	177	137	1631	209	1391	556	114	179	279	906	1478	87	575	563	432	182	518	281	508	704	128	233	830	249	519	640	100	183	235
Zotu16	63	351	435	267	338	98	1322	886	526	871	190	757	101	55	359	1700	107	125	27	860	1224	164	45	156	468	213	798	69	1395	87	450	198	154	677	1261	193	362	619	1082
Zotu24	324	103	107	231	280	64	4056	308	304	173	100	222	77	245	277	74	152	51	195	592	346	145	207	254	363	531	349	110	316	532	67	228	380	470	918	708	104	219	301
Zotu167	14	12	39	13	21	5	161	19	33	19	23	23	47	27	70	266	8	7	21	17	12	13	51	33	9	36	16	11	24	8	11	23	47	29	10	57	26	10	25
Zotu76	356	226	71	4	0	1	20	0	14	2	236	516	2	0	7	3	233	161	5	333	83	0	0	0	6	36	5	0	1668	2	14	294	2	21	87	27	6	98	2
Zotu52	158	19	6	69	9	0	186	3	2	0	40	30	127	260	288	55	20	16	286	127	3	11	102	69	288	932	229	33	1	358	14	47	686	42	185	1673	6	35	38
Zotu489	18	0	0	0	0	0	0	0	0	0	142	0	0	0	64	12	0	0	38	80	0	0	1	0	0	0	2	1	5	0	0	10	0	1	0	0	0	0	0
Zotu27	153	130	180	350	292	32	1096	677	521	89	181	492	651	449	565	415	84	139	244	365	229	166	533	326	467	484	347	213	333	592	96	243	622	414	241	510	95	127	262
Zotu34	146	102	121	174	204	29	1469	263	402	158	152	214	249	364	278	125	66	157	66	514	494	208	275	349	328	362	433	235	348	430	148	340	382	472	477	313	193	166	207
Zotu453	23	2	2	2	7	0	24	2	0	0	2	14	79	0	3	2	0	1	1	3	0	0	9	4	3	3	1	2	5	4	0	0	4	8	0	13	8	0	1
Zotu11	390	305	269	527	401	73	1849	485	674	408	500	733	586	727	732	479	167	127	246	529	674	291	727	394	564	586	509	158	1507	1142	147	400	723	952	309	991	519	202	352
Zotu267	3	0	9	11	0	19	0	19	0	3	5	0	42	3	96	0	0	6	7	40	14	0	1	4	0	20	31	0	1	0	2	56	95	35	50	42	0	0	15
Zotu1337	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	9	0	11	0	0	2	0	0	1	1	0	2	0	0	0	0	0	4	0
Zotu42	255	178	183	144	88	31	1511	162	355	252	121	123	218	345	255	172	97	58	115	315	476	129	226	157	473	177	88	248	414	267	106	230	203	510	127	158	53	208	201
Zotu61	186	85	46	128	116	67	725	177	144	120	68	42	31	13	39	95	16	29	44	111	161	16	55	78	51	125	67	42	100	127	26	79	41	299	309	99	67	44	10
Zotu15	360	230	176	392	385	63	867	570	231	288	229	109	969	246	766	677	183	156	326	290	571	121	263	355	553	441	256	676	551	356	283	311	507	1253	731	761	403	389	101
Zotu2028	3	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	8	0	0	0
Zotu314	6	2	19	8	5	9	50	6	30	27	2	7	6	15	7	0	0	0	3	6	17	8	4	1	26	26	12	6	29	24	2	1	20	13	4	16	2	4	5
Zotu91	26	24	36	109	93	2	446	118	180	59	44	103	134	200	105	72	10	31	20	114	135	77	90	102	92	72	92	50	117	43	32	61	103	143	129	103	56	36	106
Zotu4	533	1028	385	2295	1313	145	3006	411	261	395	233	4853	288	161	91	1642	289	125	137	4805	1025	433	727	1021	258	1061	310	983	420	504	348	1526	599	6182	2453	888	1176	535	1498
Zotu638	10	2	1	1	0	0	16	1	6	17	0	1	4	14	1	0	4	1	5	9	8	2	2	3	2	1	1	0	4	0	0	0	0	14	0	1	3	0	5
Zotu67	21	17	12	122	558	72	220	206	54	19	5	473	479	16	67	80	20	2	0	142	212	52	280	12	148	482	19	15	203	89	26	70	53	460	96	22	22	0	465
Zotu28	138	186	148	314	531	9	1198	506	347	94	50	472	122	248	205	615	58	83	128	1715	293	125	348	186	252	321	113	102	292	288	111	183	417	403	553	213	638	102	564
Zotu96	386	13	1	16	7	115	139	16	5	0	2	29	15	7	5	4	7	1	534	1	78	4	25	60	1	9	3	0	18	376	6	10	0	19	2	10	5	71	28
Zotu487	2	0	2	0	0	0	45	0	1	0	3	19	5	10	9	10	2	1	6	2	3	6	3	3	3	19	0	3	3	4	1	4	0	1	1	15	17	0	2
Zotu405	6	0	9	2	2	0	33	4	3	0	5	7	13	11	21	9	0	4	3	19	13	0	2	14	8	7	10	0	7	26	1	31	26	6	6	23	12	2	1
Zotu598	7	10	3	3	5	1	6	5	0	0	0	1	0	0	0	1	0	0	0	5	11	0	8	4	0	6	5	0	0	2	0	4	3	4	17	0	6	0	2
Zotu745	3	1	8	1	0	0	0	26	11	0	4	4	3	0	4	0	0	2	0	1	4	3	5	20	0	0	2	3	1	9	0	1	0	3	1	1	2	2	2
Zotu132	24	35	38	7	24	6	319	11	30	8	33	74	44	7	50	51	24	10	42	8	20	24	75	16	24	68	38	19	61	32	18	65	28	32	10	123	72	16	16
Zotu20	425	243	97	891	1679	137	3061	733	800	85	250	595	68	65	81	165	119	63	235	1120	610	64	175	263	343	245	163	88	431	229	121	181	130	453	589	377	150	190	216
Zotu17	332	520	119	214	718	158	4476	535	67	431	824	103	349	245	383	2774	124	139	352	291	211	50	139	112	656	278	165	422	312	1321	39	490	369	286	226	799	36	75	123
Zotu303	4	10	6	11	4	0	76	16	16	1	4	10	29	6	34	8	0	0	5	8	0	4	35	6	22	13	16	1	11	35	0	14	45	3	7	30	3	4	13
Zotu313	11	17	25	1	2	14	34	3	1	1	15	26	31	9	19	4	26	2	27	0	5	14	14	15	1	15	8	5	8	0	9	26	6	11	0	3	10	13	3
Zotu227	18	8	9	6	18	2	163	13	11	11	9	12	3	1	27	2	22	0	12	22	14	7	3	38	17	22	20	9	6	15	0	4	37	55	32	8	0	3	20
Zotu3599	4	0	0	0	0	0	12	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu74	116	42	40	92	371	3	847	72	55	41	49	18	72	65	117	51	68	32	47	291	158	28	55	229	115	107	84	46	73	281	43	32	190	128	556	178	30	28	85
Zotu406	23	0	3	4	9	4	7	21	13	0	4	21	10	16	29	6	6	1	14	5	0	4	14	1	14	12	22	2	8	7	0	6	11	1	3	4	0	0	11
Zotu5	491	294	543	925	706	104	2847	1065	1652	485	209	420	1163	619	2271	683	218	151	560	2611	1004	505	787	432	1665	728	909	495	1228	1034	272	418	1491	843	921	1765	175	396	324
Zotu238	13	6	14	61	17	3	101	31	12	16	2	16	29	2	40	20	12	0	11	24	25	5	4	11	22	43	10	8	5	7	3	13	25	20	15	31	1	2	14
Zotu144	39	22	35	26	56	7	157	77	39	13	20	51	75	19	94	38	3	15	25	25	33	12	36	41	55	53	22	13	73	77	26	33	87	46	34	114	10	24	30
Zotu107	85	9	42	23	14	42	183	106	65	10	63	68	72	58	98	29	2	45	61	103	23	14	39	30	82	128	119	17	62	231	31	103	220	21	22	280	14	27	16
Zotu98	17	22	19	44	37	15	211	22	15	10	25	3	218	32	184	87	11	9	34	93	41	6	77	46	10	28	95	34	76	76	15	15	124	41	28	109	16	15	22
Zotu19	184	60	126	437	412	61	473	728	576	167	143	200	1143	542	1615	237	113	111	183	309	344	66	686	151	553	203	517	217	215	550	71	144	1132	201	98	1018	42	264	92
Zotu125	21	23	11	56	188	0	27	82	195	9	13	45	25	45	32	30	6	9	24	10	28	12	30	48	48	49	9	16	26	28	5	154	62	105	47	26	59	9	5
Zotu180	71	18	2	19	27	7	53	21	17	10	8	4	26	0	118	14	0	11	17	56	10	3	10	23	34	17	13	15	51	5	42	6	41	33	37	56	3	43	14
Zotu956	1	0	0	2	1	0	12	0	0	2	1	1	4	0	5	1	0	1	0	5	1	0	0	0	1	1	5	1	0	2	0	5	7	0	0	7	0	0	0
Zotu4598	1	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0
Zotu1511	3	0	0	3	0	0	0	0	0	0	3	2	2	0	0	0	0	0	3	0	0	1	6	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Zotu281	13	5	5	12	16	3	27	42	8	17	5	7	36	4	27	5	1	6	9	7	10	0	9	5	13	11	20	10	9	5	6	0	23	18	19	25	0	15	1
Zotu115	115	39	18	34	85	3	194	108	48	6	20	14	31	7	27	9	64	6	40	30	75	51	8	61	24	128	33	7	219	36	20	71	90	37	61	16	13	13	14
Zotu5747	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu2479	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu3874	3	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
Zotu2178	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	1	0	0	2	2	5	4	0	0	1	0	0	0
Zotu56	60	28	19	553	1073	4	10	330	1865	44	40	56	32	195	18	104	1	3	20	7	106	84	123	54	5	16	34	179	40	1	16	113	36	60	42	36	128	35	66
Zotu233	6	0	12	42	32	2	60	35	7	0	11	2	1	2	3	151	18	0	4	6	14	14	16	26	8	4	4	7	25	0	0	17	8	94	15	2	10	0	1
Zotu1885	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	4	2	4	0	0	0	0	0
Zotu149	83	7	3	16	40	12	337	11	2	9	45	4	1	12	3	96	15	5	14	205	14	42	42	19	4	9	9	3	31	12	0	8	6	12	59	22	0	3	13
Zotu342	3	3	7	4	3	0	33	7	5	14	7	8	3	8	1	0	0	1	0	2	10	21	4	0	12	10	8	3	7	1	7	0	5	9	3	15	5	0	7
Zotu105	37	319	30	30	40	22	146	68	49	22	37	50	102	48	132	66	36	12	44	31	25	41	93	44	69	113	48	30	139	71	33	43	85	72	26	167	43	25	44
Zotu235	7	15	9	44	22	16	32	50	6	26	7	58	18	13	8	23	12	5	2	9	38	12	12	24	15	10	7	14	10	14	13	3	17	23	10	14	36	1	92
Zotu33	16	288	249	522	201	15	4222	74	26	14	46	181	21	6	14	1878	18	18	8	1343	77	139	36	43	50	16	7	11	672	23	192	35	44	303	318	16	800	1	118
Zotu161	25	2	19	17	19	6	106	63	62	17	22	45	82	44	60	18	1	5	32	28	17	9	32	34	31	35	19	3	75	79	8	26	94	54	24	94	6	20	23
Zotu94	41	13	32	110	72	3	390	148	94	41	26	58	270	69	258	159	37	37	99	140	90	55	139	81	87	200	92	69	35	185	10	46	203	103	90	163	1	45	38
Zotu44	52	104	87	183	111	6	524	212	257	282	188	168	58	295	98	263	103	72	10	467	186	187	192	162	220	160	127	219	368	140	75	57	148	648	370	169	131	161	162
Zotu108	81	12	24	62	65	1	232	56	50	2	14	23	111	25	185	15	21	0	45	66	28	17	13	42	158	171	37	22	38	161	17	41	215	62	109	271	11	42	26
Zotu224	13	5	11	3	20	6	81	40	19	11	5	10	40	22	31	7	9	9	10	33	22	14	9	29	41	17	11	4	17	51	8	0	54	19	17	76	6	9	11
Zotu51	62	111	82	114	223	57	1406	136	569	174	34	305	54	103	47	132	137	10	38	406	226	299	108	268	83	159	108	65	107	121	41	125	85	453	218	75	177	19	212
Zotu40	24	219	24	121	223	25	6053	311	228	1278	45	134	57	348	131	119	45	14	52	113	335	31	45	108	92	272	166	13	35	193	19	47	168	564	122	25	98	6	124
Zotu967	4	0	0	0	0	0	24	43	4	0	0	0	0	0	0	0	2	0	0	15	0	0	0	0	15	0	6	0	0	0	0	0	0	0	9	0	0	10	0
Zotu660	2	0	5	6	1	0	1	1	4	1	0	0	18	5	11	2	4	0	11	4	0	1	1	7	16	4	1	1	3	1	1	1	3	2	2	1	2	0	2
Zotu36	156	233	64	228	1119	102	1294	65	102	131	54	482	16	27	25	241	197	79	51	913	483	51	153	240	209	254	82	342	564	161	39	281	54	736	514	22	77	46	176
Zotu474	3	5	5	0	3	1	68	0	12	1	2	2	3	1	13	3	0	3	3	1	2	2	22	5	3	5	0	6	3	2	0	4	2	12	2	12	14	0	1
Zotu121	50	17	36	22	21	2	237	77	54	3	39	48	65	36	87	38	26	21	41	20	47	24	81	76	20	40	41	21	40	48	21	41	129	55	13	162	45	17	23
Zotu64	103	45	72	77	78	22	583	136	94	93	50	41	257	49	306	62	18	21	191	119	79	39	125	61	223	244	121	24	111	358	12	77	369	66	82	330	26	24	87
Zotu78	57	11	8	174	106	19	787	116	93	82	59	156	89	179	92	50	43	45	29	256	106	49	129	54	135	29	127	33	63	65	21	73	85	106	35	119	56	36	123
Zotu47	167	117	83	174	186	48	589	287	397	192	99	444	111	210	146	161	63	51	122	133	295	230	150	131	236	267	141	134	289	147	24	215	222	333	140	280	195	74	441
Zotu339	11	1	12	4	14	0	66	8	15	7	4	17	42	21	7	8	9	4	15	4	26	12	12	13	9	20	10	3	25	10	3	21	27	25	6	43	27	2	2
Zotu386	89	1	3	4	1	1	0	3	1	0	3	0	1	0	4	6	0	0	3	48	5	0	6	4	8	3	3	0	4	30	0	4	0	15	5	0	0	0	0
Zotu898	2	3	1	7	2	0	28	7	0	4	2	1	6	3	6	1	0	0	3	3	0	0	2	7	6	2	18	1	1	0	0	1	2	3	2	2	0	0	0
Zotu119	296	24	5	8	3	0	99	14	9	76	61	21	9	2	25	4	2	0	32	136	113	1	10	3	6	12	2	2	17	2	156	1	2	16	4	7	13	14	61
Zotu191	14	5	3	17	60	8	99	68	46	22	11	44	10	24	18	50	3	1	13	28	24	16	23	32	15	15	28	17	13	9	16	32	47	60	82	36	29	15	12
Zotu70	42	24	70	46	38	29	2464	24	130	4	81	12	21	6	31	96	17	4	40	188	39	4	349	11	20	25	24	44	55	287	80	60	73	821	59	42	13	16	63
Zotu18	46	242	411	947	628	26	5846	614	1123	207	85	293	215	497	208	271	173	117	62	691	484	197	267	489	144	356	226	354	207	249	114	215	393	783	703	211	527	94	230
Zotu89	89	45	32	65	25	4	92	277	34	136	40	16	123	27	85	153	20	24	38	43	57	62	30	27	68	81	72	60	124	30	79	28	28	349	181	109	31	61	19
Zotu229	11	37	13	12	5	4	88	10	24	24	11	52	29	24	13	18	16	11	36	7	18	14	28	28	18	16	1	15	32	6	12	10	11	13	5	39	23	11	12
Zotu2387	1	0	7	0	0	0	0	0	2	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu26	33	66	347	260	30	14	94	422	202	31	260	37	482	1639	781	1276	6	26	2	575	48	11	633	135	46	42	773	516	536	197	55	60	464	208	19	896	17	140	17
Zotu360	17	47	7	5	7	1	54	61	0	36	18	60	1	3	0	11	1	1	3	23	0	0	34	1	4	9	1	1	1	3	7	9	5	3	5	8	0	1	4
Zotu8	98	465	144	248	516	116	944	4059	130	116	1320	553	811	70	2332	1532	49	16	155	117	662	196	5597	130	1457	223	77	95	1070	144	120	115	314	247	69	2552	778	39	246
Zotu2481	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	3	0	0
Zotu520	1	5	6	1	0	0	42	4	5	1	4	7	5	0	2	5	1	1	4	4	3	3	1	3	0	5	6	1	14	1	0	8	11	11	1	19	0	0	3
Zotu100	32	28	8	45	26	12	176	50	54	7	6	14	104	55	120	40	47	15	149	68	30	10	84	24	83	51	87	12	59	91	29	15	43	58	51	160	2	63	15
Zotu49	70	105	65	200	171	33	508	460	384	139	109	181	432	370	344	273	54	65	96	164	200	123	245	200	285	230	166	130	342	247	45	115	480	354	167	398	148	58	126
Zotu217	8	5	5	17	16	2	31	40	24	1	14	19	37	15	56	9	3	14	16	24	18	5	11	3	35	31	16	5	31	43	6	19	50	33	8	69	1	6	7
Zotu22	90	46	83	1036	132	148	2754	157	53	78	101	44	244	141	74	234	47	25	149	1287	244	24	451	201	54	39	155	71	567	523	51	211	418	202	104	364	32	240	78
Zotu200	10	18	15	10	6	1	141	29	68	10	24	33	35	29	79	30	9	8	41	11	19	45	28	27	31	41	20	4	44	20	27	28	29	23	13	50	29	1	1
Zotu426	2	1	0	10	0	1	2	30	4	26	0	12	20	2	3	17	3	0	1	1	9	0	24	1	1	2	0	0	9	1	0	0	0	3	0	54	0	2	0
Zotu193	45	1	0	6	1	0	441	2	1	0	3	11	107	0	12	79	0	2	2	26	4	2	113	3	0	2	0	4	11	9	2	3	27	3	39	10	0	5	1
Zotu2059	6	0	2	1	0	0	9	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	5	0	5	2	0	0	0	0	0	0	0	0	0	0
Zotu1195	1	0	1	0	0	0	4	1	1	12	0	0	5	1	2	1	0	0	8	0	1	2	0	0	1	0	0	0	0	1	0	1	5	2	0	0	0	2	0
Zotu231	30	5	0	17	45	3	263	5	4	2	7	3	3	1	19	1	3	7	16	24	16	2	17	22	5	7	18	0	13	15	8	0	7	24	83	16	5	9	6
Zotu532	6	2	1	2	4	4	3	9	2	2	1	7	3	0	6	2	0	3	3	2	0	1	3	0	2	4	15	3	2	7	0	1	17	3	0	23	0	0	3
Zotu129	49	28	37	62	32	8	49	73	72	22	38	62	167	23	182	19	1	10	25	75	42	7	40	4	41	24	31	23	91	54	1	17	60	56	50	99	1	12	32
Zotu461	3	1	2	0	1	4	39	5	6	0	3	4	23	11	25	19	0	12	2	9	4	0	6	2	1	10	0	0	14	18	0	7	13	0	0	7	0	2	0
Zotu12	78	201	67	343	4196	52	3835	3727	1054	413	118	842	91	211	142	223	322	65	96	1727	537	563	101	573	220	354	155	188	139	240	96	284	177	1338	726	107	1376	89	503
Zotu3224	10	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2539	2	0	3	0	0	0	0	0	0	0	0	0	4	0	9	1	0	0	0	2	2	1	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Zotu223	15	5	6	24	24	8	111	37	31	18	7	37	32	26	61	34	0	2	11	22	23	3	19	28	31	23	19	6	25	23	9	17	33	37	14	57	9	2	15
Zotu402	4	0	0	2	3	0	9	0	1	0	1	2	46	0	19	0	0	0	9	6	1	0	2	0	0	0	0	1	91	113	14	14	4	0	7	5	1	21	1
Zotu170	45	5	6	21	37	16	129	27	23	14	21	36	11	1	29	9	5	8	106	20	64	6	8	36	15	44	60	10	23	63	15	23	76	25	79	61	35	0	22
Zotu5366	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Zotu139	43	22	14	37	44	7	253	47	21	2	10	10	82	5	121	22	11	13	59	80	38	19	118	21	40	9	23	9	41	78	9	15	80	11	14	64	3	0	11
Zotu185	18	19	20	11	11	4	200	22	20	15	7	4	23	32	41	10	0	3	18	41	41	1	15	19	58	35	45	35	56	19	5	17	124	39	61	94	10	29	7
Zotu37	135	332	100	258	1579	76	256	120	218	121	61	362	74	642	115	215	118	77	55	168	254	385	111	212	253	325	62	95	97	199	83	123	386	1074	510	227	804	28	568
Zotu25	57	370	97	514	1780	16	1363	183	26	299	16	2091	80	198	16	392	44	31	54	242	184	83	340	139	108	449	22	64	85	72	1007	161	378	627	445	152	193	155	748
Zotu117	14	25	66	50	43	6	113	107	69	68	30	57	0	50	17	41	36	7	0	128	62	39	10	63	11	15	12	18	35	34	33	60	140	61	89	35	124	5	13
Zotu652	2	8	0	0	16	0	18	8	1	1	5	0	2	1	2	0	0	0	10	1	9	2	1	1	5	3	1	0	1	0	0	0	11	3	1	12	0	10	0
Zotu112	33	20	43	52	69	14	267	85	80	46	15	10	142	33	76	79	0	16	111	51	31	18	33	36	97	50	44	14	46	56	16	11	117	33	43	126	28	12	5
Zotu446	2	0	5	12	11	1	38	17	0	1	4	6	24	1	19	25	0	0	12	8	6	0	5	5	3	2	4	1	5	11	3	12	5	5	1	28	0	0	1
Zotu221	32	4	13	0	28	9	271	4	2	0	0	1	31	0	35	1	3	0	7	12	23	5	5	0	61	1	66	6	19	109	0	1	65	10	37	125	1	11	0
Zotu677	2	4	12	1	7	0	2	1	0	0	1	8	2	2	2	3	0	0	2	0	0	0	2	6	3	23	1	0	21	0	0	2	2	0	0	0	26	0	0
Zotu195	30	9	14	5	16	7	86	41	26	26	21	32	27	23	30	18	5	7	24	17	4	5	27	13	27	31	59	3	19	60	24	26	61	41	14	160	10	4	16
Zotu2820	5	1	0	0	0	0	12	0	1	0	1	0	0	0	0	0	0	1	2	2	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
Zotu4478	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu48	54	129	107	116	345	4	1075	253	28	100	183	86	99	95	56	268	18	39	35	336	186	73	625	95	69	94	73	62	306	126	54	106	126	335	261	69	148	87	271
Zotu143	83	15	24	28	34	2	54	39	59	26	9	8	18	2	30	22	8	3	12	70	6	9	90	12	21	3	6	14	24	24	7	10	11	25	80	44	2	8	12
Zotu5754	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1544	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu277	11	7	6	16	12	0	69	24	51	17	8	18	15	28	35	13	0	7	1	19	35	17	10	8	10	22	16	5	36	34	5	21	33	23	6	34	8	10	12
Zotu66	50	59	30	163	304	3	130	442	354	556	76	531	18	69	12	62	20	13	32	111	151	338	144	86	44	90	153	86	131	102	15	224	27	425	100	52	49	35	276
Zotu109	102	10	3	15	5	45	685	34	7	60	4	0	17	0	113	2	0	18	5	3	51	1	19	0	7	0	158	13	65	51	4	0	194	78	208	184	1	2	0
