OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu2706	2	0	5	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	17	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu2735	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu1391	1	0	1	1	1	4	1	1	0	0	0	0	2	1	3	2	0	0	0	1	0	0	3	0	0	0	0	9	2	0	0	5	2	0	1	0	0	0	0
Zotu937	1	0	0	3	1	1	2	2	2	0	3	6	6	6	8	1	0	0	2	7	5	0	0	0	6	8	1	0	0	7	0	1	14	0	6	7	0	0	3
Zotu3600	2	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Zotu5746	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4247	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu4735	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Zotu564	8	0	0	0	0	0	20	9	2	16	6	7	9	4	7	8	0	0	10	8	7	4	1	8	10	3	8	1	3	5	0	5	25	12	2	17	0	0	0
Zotu2285	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0	2	0	0	0	5	0	0	4	0	1	0	0	0	2
Zotu1247	3	0	0	1	0	0	15	1	1	1	0	2	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	11	1	0	1	0	0	0
Zotu4736	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2637	2	0	0	0	0	0	0	4	0	0	0	0	6	1	4	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
