#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R82L1S4	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	0.5	292.9623309	384.3568094	3381.020472	86.51833263	201.5678525	20.929354	22.00458316	76.84127021	35.98256221	34.90733305	2.650458316	14.47797905	63.93852032	14.47797905	2.650458316
R82L1S40	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	489.7642282	1523.568338	881.922579	3086.972963	222.3495813	1137.385733	31.87266807	43.07719237	79.67863845	43.07719237	54.28171668	40.08931923	370.2493022	365.7674925	78.18470188	7.222714585
R82L1S42	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	41.56292177	5.427550612	727.3137153	2861.764389	208.2783841	754.4152436	3.785033741	38.27788802	72.77074231	40.74166333	45.66921394	2.963775306	1.321258435	168.8579792	73.59200074	1.321258435
R82L1S43	GH-Tue	Est1	GH-Tue_Est1	339.3338659	1154.757005	1956.848976	2947.799168	137.1444771	813.7012781	37.16071336	61.60118893	106.0384172	41.60443619	67.15584247	24.94047557	515.9718484	594.8479287	123.8133086	26.05140628
R82L1S44	GH-Tue	HIF:Col-0	GH-Tue_HIF:Col-0	338.1317028	18.56724831	1143.253456	3013.213656	95.35305362	479.2820802	7.275218116	108.9034899	93.09464758	45.66812077	76.15660229	16.30884227	0.5	547.0342613	116.807911	0.5
R82L1S45	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	5.443659263	15.33097779	278.5808335	3271.966517	40.0492741	59.82391115	17.80280742	38.81335929	96.90135562	28.92604076	35.10561484	2.971829631	2.971829631	51.17250744	7.915488894	4.207744447
R82L1S46	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	36.7013013	7.506703477	675.4791017	3051.919364	204.8621848	827.2910103	1.667783913	50.71470826	99.7616326	56.55362782	28.52681391	8.67448739	1.667783913	225.8822952	55.38584391	1.667783913
R82L1S47	GH-Tue	Est1	GH-Tue_Est1	417.051597	1486.096297	896.2425318	3017.628108	394.0838397	1480.876352	17.20382344	62.09534892	79.84316133	71.49124961	49.56748135	149.790422	548.5942065	873.2747746	87.15108408	9.895900683
R82L1S48	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	2.438346655	51.86618637	554.8671434	2683.171771	51.86618637	96.44815944	24.72933319	26.66767985	77.06469289	33.45189314	28.6060265	3.407519983	2.438346655	59.61957299	16.97594657	0.5
R82L1S49	GH-Tue	Est-1:acd6-null	GH-Tue_Est-1:acd6-null	5.79145233	14.25777606	393.1257629	2953.1304	215.3329646	763.527426	1.558290466	36.48187585	87.27981821	36.48187585	48.12307097	1.558290466	0.5	230.1490311	31.19042351	1.558290466
R82L1S50	GH-Tue	Est1	GH-Tue_Est1	339.5068074	1395.847769	1978.21683	3014.366163	124.83792	1029.210312	43.00869059	74.89020853	99.33270561	55.76129776	61.07488409	40.88325606	638.1303588	814.5414247	120.5870509	29.19336615
R82L1S52	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	68.83634515	358.3971297	1512.007295	3298.018214	136.0144472	285.427812	117.482557	76.94404712	118.6408001	53.77918436	72.31107457	114.0078275	29.45607845	241.4145727	98.95066675	0.5
R82L1S53	GH-Tue	HIF:Est-1	GH-Tue_HIF:Est-1	625.1647229	1320.29226	1205.493293	3184.785825	310.0613519	1558.599081	93.13089048	50.37817179	88.3805884	40.87756764	63.83736101	133.5084581	301.3524648	359.1478067	119.2575519	25.8349444
R82L1S55	F-Tue	HIF:Est-1	F-Tue_HIF:Est-1	114.5822666	57.54113331	1066.386275	3207.106455	23.98752548	46.35659737	18.39525751	77.673298	103.3977307	46.35659737	58.6595869	9.447628754	16.15835032	281.2318522	41.88278299	3.855360783
R82L1S56	F-Tue	HIF:Col-0	F-Tue_HIF:Col-0	14.89030342	36.47575854	1046.994843	3434.186287	31.67899074	41.27252635	32.47845204	49.26713936	90.0396657	32.47845204	30.08006813	4.497306505	0.5	93.23751091	46.06929415	1.299461301
